Nombre,Cargo,Empresa,Fecha Nombramiento,% Derechos Voto,via
"AROSTEGUI GOMEZ, GERARDO",CONSEJERO,"TUBACEX, S.A.",30/11/1989,0.025,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"BAGOETA, S.L.",CONSEJERO,"TUBACEX, S.A.",23/05/2012,17.688,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"CRESPO BOFIL, CONSUELO",CONSEJERO,"TUBACEX, S.A.",28/05/2009,n/d,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"DE IRALA ESTEVEZ, XABIER",CONSEJERO,"TUBACEX, S.A.",28/05/2009,0.010,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"ESMORIS ESMORIS, JESUS",CONSEJERO DELEGADO,"TUBACEX, S.A.",28/01/2013,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"GARTEIZGOGEASCOA IGUAIN, JUAN",VICEPRESIDENTE,"TUBACEX, S.A.",11/11/2005,n/d,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"GONZALEZ-ADALID GARCIA-ZOZAYA, ANTONIO",CONSEJERO,"TUBACEX, S.A.",28/05/2009,0.026,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"GUEVARA SALETA, JUAN RAMON",CONSEJERO,"TUBACEX, S.A.",21/09/1994,n/d,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"IRIBECAMPOS ZUBIA, JUAN JOSE",CONSEJERO,"TUBACEX, S.A.",22/05/2008,n/d,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"MARCO-GARDOQUI IBAÑEZ, IGNACIO",CONSEJERO,"TUBACEX, S.A.",23/05/2012,0.041,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"VIDEGAIN MURO, ALVARO",PRESIDENTE,"TUBACEX, S.A.",30/06/1992,0.108,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01003946
"ADDVALIA CAPITAL, S.A.",CONSEJERO,"VIDRALA, S.A.",23/09/2008,5.305,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"DELCLAUX DE LA SOTA, RAMON",CONSEJERO,"VIDRALA, S.A.",21/06/2005,0.465,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"DELCLAUX MULLER, LUIS",CONSEJERO,"VIDRALA, S.A.",22/06/2004,0.621,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"DELCLAUX ZUBIRIA, ALVARO",CONSEJERO,"VIDRALA, S.A.",21/06/2002,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"DELCLAUX ZULUETA, CARLOS",PRESIDENTE,"VIDRALA, S.A.",21/06/2002,1.186,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"ERRANDONEA DELCLAUX, ESTEBAN",CONSEJERO,"VIDRALA, S.A.",14/06/2001,0.004,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"GUIBERT DELCLAUX, RAFAEL",CONSEJERO,"VIDRALA, S.A.",30/11/1989,0.519,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"GUTIERREZ MARTINEZ DE COMPAÑON, JAVIER",CONSEJERO,"VIDRALA, S.A.",23/06/2011,0.392,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"URIGÜEN VILLALBA, MARIA VIRGINIA",CONSEJERO,"VIDRALA, S.A.",25/04/1996,0.452,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"ZAVALA ORTIZ DE LA TORRE, EDUARDO",CONSEJERO,"VIDRALA, S.A.",28/09/2004,0.831,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01004324
"ALDECOA SAGASTASOLOA, JOSE MARIA",CONSEJERO,"GAMESA CORPORACION TECNOLOGICA, S.A.",25/07/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"ARACAMA YOLDI, JOSE MARIA",CONSEJERO,"GAMESA CORPORACION TECNOLOGICA, S.A.",08/03/2011,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"ARREGUI CIARSOLO, JUAN LUIS",VICEPRESIDENTE,"GAMESA CORPORACION TECNOLOGICA, S.A.",21/04/2010,0.054,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"CASTRESANA SANCHEZ, RAMON",CONSEJERO,"GAMESA CORPORACION TECNOLOGICA, S.A.",25/07/2012,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"LADA DIAZ, LUIS",CONSEJERO,"GAMESA CORPORACION TECNOLOGICA, S.A.",23/10/2009,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"MARTIN SAN VICENTE, IGNACIO",PRESIDENTE-CONSEJERO DELEGADO,"GAMESA CORPORACION TECNOLOGICA, S.A.",23/05/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"MOREU MUNAIZ, MANUEL",CONSEJERO,"GAMESA CORPORACION TECNOLOGICA, S.A.",08/03/2013,0.002,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"RODRIGUEZ QUIROGA MENENDEZ, CARLOS",SECRETARIO CONSEJERO,"GAMESA CORPORACION TECNOLOGICA, S.A.",27/07/2006,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"RUBIO REINOSO, SONSOLES",CONSEJERO,"GAMESA CORPORACION TECNOLOGICA, S.A.",14/12/2011,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"VAZQUEZ EGUSQUIZA, JOSE MARIA",CONSEJERO,"GAMESA CORPORACION TECNOLOGICA, S.A.",25/05/2007,n/d,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-01011253
"DEL RIO MARTIN, JAVIER",CONSEJERO,"FUNESPAÑA, S.A.",17/07/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"HIDALGO CASTAÑO, MARIA VICTORIA",CONSEJERO,"FUNESPAÑA, S.A.",17/07/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"LAMAS LOPEZ, WENCESLAO",CONSEJERO,"FUNESPAÑA, S.A.",17/07/2012,2.541,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"MAPFRE FAMILIAR COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.",PRESIDENTE,"FUNESPAÑA, S.A.",17/07/2012,63.800,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"MATIACCI MARCOS, MARIA TERESA",CONSEJERO,"FUNESPAÑA, S.A.",17/07/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"ORTIZ JOVER, ALBERTO",CONSEJERO DELEGADO,"FUNESPAÑA, S.A.",30/05/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"RODULFO LAVILLA, CARLOS",CONSEJERO,"FUNESPAÑA, S.A.",17/09/2007,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"VALDIVIA GERADA, ANGEL",CONSEJERO DELEGADO,"FUNESPAÑA, S.A.",13/03/1995,0.849,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"VALDIVIA GERADA, JUAN ANTONIO",VICEPRESIDENTE,"FUNESPAÑA, S.A.",17/07/2012,17.203,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-04128732
"ALARCON SAINZ, MARIA EMILIA",CONSEJERO,"ALZA REAL ESTATE, S.A.",27/06/2011,4.374,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-07040223
"ALARCON ZAMORA, TOMAS",PRESIDENTE,"ALZA REAL ESTATE, S.A.",17/04/2007,39.805,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-07040223
"ARROJO BOTIJA, JOSE MANUEL",CONSEJERO,"ALZA REAL ESTATE, S.A.",17/04/2007,0.472,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-07040223
GISA LIMITED,CONSEJERO,"ALZA REAL ESTATE, S.A.",26/03/2012,4.481,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-07040223
"LOPEZ DE HERRERA-ORIA, LUIS",CONSEJERO DELEGADO,"ALZA REAL ESTATE, S.A.",17/04/2007,0.886,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-07040223
"RICART DE OLIVAR, FEDERICO",CONSEJERO,"ALZA REAL ESTATE, S.A.",28/09/2009,0.910,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-07040223
"SOTRES DE LA SEN, NATALIO",CONSEJERO,"ALZA REAL ESTATE, S.A.",28/06/2011,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-07040223
"ZANETTY DUEÑAS, JOSE LUIS",CONSEJERO,"ALZA REAL ESTATE, S.A.",28/09/2009,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-07040223
"ANDIC ERMAY, ISAK",VICEPRESIDENTE,"BANCO DE SABADELL, S.A.",25/11/2010,2.857,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"COLONQUES MORENO, HECTOR",CONSEJERO,"BANCO DE SABADELL, S.A.",31/10/2001,0.061,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"DAURELLA COMADRAN, SOLEDAD",CONSEJERO,"BANCO DE SABADELL, S.A.",19/03/2009,0.332,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"ECHENIQUE LANDIRIBAR, JAVIER",VICEPRESIDENTE,"BANCO DE SABADELL, S.A.",16/12/2010,0.002,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"FOLCH-RUSIÑOL CORACHAN, JOAQUIN",CONSEJERO,"BANCO DE SABADELL, S.A.",09/03/2000,0.513,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"GARCIA-MILA LLOVERAS, MARIA TERESA",CONSEJERO,"BANCO DE SABADELL, S.A.",30/03/2007,0.001,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"GUARDIOLA ROMOJARO, JAIME",CONSEJERO DELEGADO,"BANCO DE SABADELL, S.A.",27/09/2007,0.009,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"LARA BOSCH, JOSE MANUEL",VICEPRESIDENTE,"BANCO DE SABADELL, S.A.",25/11/2010,0.003,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"LLONCH ANDREU, JOAN",CONSEJERO,"BANCO DE SABADELL, S.A.",18/04/2001,0.045,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"MARTINEZ MARTINEZ, JOSE MANUEL",CONSEJERO,"BANCO DE SABADELL, S.A.",26/03/2013,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"MARTINEZ SUFRATEGUI, JOSE RAMON",CONSEJERO,"BANCO DE SABADELL, S.A.",16/12/2010,0.031,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"MARTINS MONTEIRO, ANTONIO VITOR",CONSEJERO,"BANCO DE SABADELL, S.A.",20/09/2012,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"NEGRO RODRIGUEZ, JOSE LUIS",CONSEJERO,"BANCO DE SABADELL, S.A.",31/05/2012,0.054,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"OLIU CREUS, JOSE",PRESIDENTE,"BANCO DE SABADELL, S.A.",23/12/1999,0.209,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"PERMANYER CUNILLERA, JOSE",CONSEJERO,"BANCO DE SABADELL, S.A.",21/03/2002,0.070,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000143
"BLANCO BALIN, JOSE RAMON",CONSEJERO,"ERCROS, S.A.",29/07/1996,0.000,http://cnmv.es/Portal/Consultas/DerechosVoto/PS_AC_INI.aspx?nif=A-08000630
